3	24.8	24.9	43	43	0.5	13.2	20.1	2	0.9	6.1	2.9	14	11	68	2	1.5
2.5	24.8	24.9	44	43	0.5	13.5	20.5	2.5	1.2	6	2.9	14	11	68	2	0
2.5	23.5	22.9	41	40	0	7	11	3	1	6	3	16	11	41	2	0.75
2.5	24.8	24.2	41	41	0.5	10.6	16.1	2	1	2.4	1	14	10	41	2	0.75
1	23.7	23	43	43	4.5	11.8	9	5.6	1.9	3.3	1	16	9	21	2	0
1	23.7	23	42	43	4.5	11.2	8.3	6.7	2.8	3.7	1.1	14	13	21	2	0
2	22.3	21.9	43	42	2.5	13	20	7	3.5	1.6	5	14	7	31	2	0.5
2.5	22.6	21.9	43	42	2.5	13.5	20	10	2	1	2	13	8	31	2	0.5
2.5	24.3	23.6	41	43	0.5	3.8	5.9	2.9	1.4	3.9	3.3	14	9	30	3	1
1.5	23.6	23.2	41	39	2	8.2	10	3	3	1.5	3	15	7	25	2	1
1.5	23.6	23.2	41	39	2	10.5	9	4	2	1	2	14	9	25	2	1
2.5	23.9	23.5	43	41	2	10.7	12	6	2	4.3	1.4	16	9	35	2	0.75
2.5	23.9	23.4	43	42	2	7.9	9.7	6.6	2.3	6.2	1.5	14	9	35	2	0.75
1.5	25.5	25	42	40	2.5	7	9	3	5	3	2.1	16	10	17	3	2
2.5	25.1	24.3	41	40	3	8	8	3	4	3.2	2.1	17	8	25	2	1
2.5	25.1	24.2	41	41	3	7.1	10	2.5	1.3	6.3	3.6	17	7	25	2	1
2	24.8	24.8	43	42	4	10.5	16.1	2.3	1.1	5.9	2.8	15	12	17	2	1
1	24.2	24.2	42	42	4	7.1	10	2.6	1.2	6.3	3	16	13	17	2	1
1.5	24.6	24.5	42	41	2	17.6	24	2.4	1.1	6.3	3.5	12	5	25	2	0.75
2	24.8	24.5	43	42	2	10.6	14.5	1.1	0.5	6.8	3.7	13	7	25	2	0.75
0.5	21.8	22	42	42	2.5	7.5	9.1	4	5.43	3	2	16	9	19	3	1
1	23.2	22.4	41	41	2.5	6.6	7.99	5.5	4.9	2.5	1.5	15	10	19	3	1
1.5	25.8	24.8	40	38	1.5	7	9.2	3	2.3	3	2.5	17	10	15	2	0.75
1.5	25.6	24.6	40	38	1.5	12	10	3	2.5	3.5	2.5	16	10	15	2	0.75
1	25.5	24.2	40	38	3.5	8.5	10	4	5.5	6	2.5	16	9	22	3	0.75
1	25.4	24.2	40	38	3.5	10	9.5	4.5	5.5	5	1.5	12	10	22	3	0.75
3	25	24.2	42	40	2.5	10	7	3.5	1.6	5	3	16	8	25	3	0.5
3	25	24.2	42	40	2.5	10.5	10	2	1	2	1.5	15	10	25	3	0.25
2	25.8	24.7	42	42	3	7.6	9.1	4.5	5.5	3.5	2	15	9	19	3	0.5
2	25.7	24.7	40	40	3	6.6	8.1	6	4.9	4	1.5	16	10	19	3	1
5.5	25.7	24.9	46	44	1	10	15.3	2	1	3.2	4.9	13	10	31	2	0.25
6	26	25.2	43	42	7	13.9	21	6.4	3	9	4.1	17	10	31	2	0.25
6	25.8	25.2	43	43	7	17	26	12.3	6	7	3.6	17	11	31	2	0.25
3.5	24.6	23.6	41	42	1	6.5	10	2.1	1.8	3.8	2.3	14	9	30	3	0.75
5.5	25	25.2	42	41	0.5	10.4	15.9	1.9	0.9	2.3	1.1	13	10	35	2	0.75
6	25.1	25.2	41	42	0.5	8.9	13.6	2.1	1	1.9	1.1	14	9	35	2	0.5
